date,open,high,low,close,volume,symbol
20221014,6300.0,6437.4,6273.2,6418.0,39202,IM0
20221017,6400.0,6487.4,6396.8,6448.0,31880,IM0
20221018,6466.0,6547.8,6432.4,6497.2,30270,IM0
20221019,6477.0,6545.0,6452.4,6462.4,29061,IM0
20221020,6435.2,6543.8,6328.6,6445.8,28712,IM0
20221021,6376.0,6424.8,6315.0,6377.4,36648,IM0
20221024,6370.0,6554.4,6267.0,6360.0,52094,IM0
20221025,6340.0,6389.0,6212.4,6340.8,51852,IM0
20221026,6348.2,6578.0,6336.2,6500.6,59542,IM0
20221027,6534.2,6560.0,6453.0,6473.0,42741,IM0
20221028,6426.2,6462.6,6202.0,6224.2,51221,IM0
20221031,6203.0,6360.0,6185.4,6286.6,48429,IM0
20221101,6317.0,6471.0,6271.4,6471.0,50479,IM0
20221102,6459.0,6561.8,6447.0,6532.0,35874,IM0
20221103,6493.0,6589.0,6493.0,6563.4,33815,IM0
20221104,6588.0,6750.8,6564.2,6746.6,43107,IM0
20221107,6731.4,6777.0,6661.0,6711.8,37120,IM0
20221108,6045.4,6717.8,6045.4,6707.6,28811,IM0
20221109,6700.4,6748.0,6660.0,6674.8,29093,IM0
20221110,6638.0,6667.0,6584.0,6616.0,33758,IM0
20221111,6800.0,6811.6,6641.8,6645.0,45127,IM0
20221114,6668.0,6714.0,6565.6,6592.2,36933,IM0
20221115,6595.0,6753.2,6582.6,6753.0,33028,IM0
20221116,6747.8,6774.6,6691.6,6698.2,23921,IM0
20221117,6682.4,6722.0,6634.0,6715.2,20540,IM0
20221118,6700.6,6760.0,6631.4,6646.4,41232,IM0
20221121,6606.2,6695.8,6581.2,6685.0,39569,IM0
20221122,6674.0,6686.8,6514.4,6557.2,51946,IM0
20221123,6563.0,6584.0,6422.2,6553.4,49857,IM0
20221124,6570.0,6595.6,6520.4,6559.2,38327,IM0
20221125,6545.2,6553.8,6485.8,6497.0,35966,IM0
20221128,6424.2,6500.6,6371.4,6492.0,42689,IM0
20221129,6502.0,6632.8,6501.0,6597.0,41900,IM0
20221130,6600.2,6623.0,6555.4,6582.8,31915,IM0
20221201,6656.0,6713.8,6637.8,6662.0,34834,IM0
20221202,6662.2,6747.0,6651.2,6681.8,30017,IM0
20221205,6729.0,6736.0,6673.0,6703.0,34433,IM0
20221206,6690.2,6747.0,6657.0,6697.8,35502,IM0
20221207,6689.8,6739.0,6671.6,6695.2,31060,IM0
20221208,6701.4,6701.4,6633.8,6663.8,29056,IM0
20221209,6666.0,6699.6,6613.2,6684.8,34377,IM0
20221212,6678.0,6691.6,6614.0,6654.6,36779,IM0
20221213,6659.8,6659.8,6590.6,6604.8,27158,IM0
20221214,6615.0,6638.4,6551.4,6573.6,30053,IM0
20221215,6564.8,6618.4,6547.6,6600.6,23979,IM0
20221216,6581.0,6597.8,6509.8,6515.0,14369,IM0
20221219,6524.0,6553.6,6377.2,6417.0,31461,IM0
20221220,6403.0,6418.6,6337.6,6350.4,31960,IM0
20221221,6356.0,6369.8,6248.8,6302.2,30254,IM0
20221222,6327.8,6333.6,6171.2,6206.0,32221,IM0
20221223,6182.0,6232.2,6130.4,6165.2,34624,IM0
20221226,6172.2,6305.4,6170.2,6285.2,33311,IM0
20221227,6305.0,6339.0,6265.4,6336.2,26878,IM0
20221228,6310.0,6318.4,6263.8,6293.4,22558,IM0
20221229,6279.8,6334.8,6260.8,6269.2,27458,IM0
20221230,6290.2,6304.0,6261.0,6285.8,21902,IM0
20230103,6280.0,6442.8,6276.0,6420.0,29613,IM0
20230104,6420.0,6439.0,6375.0,6414.4,22569,IM0
20230105,6433.8,6494.0,6408.2,6490.4,24379,IM0
20230106,6487.2,6543.6,6478.2,6505.2,23789,IM0
20230109,6518.2,6571.0,6513.0,6518.2,21905,IM0
20230110,6527.0,6546.6,6490.2,6532.2,17855,IM0
20230111,6539.0,6562.4,6481.0,6494.4,22001,IM0
20230112,6500.0,6541.6,6473.8,6492.0,24588,IM0
20230113,6509.8,6551.8,6481.2,6542.4,24189,IM0
20230116,6540.0,6658.8,6539.8,6597.4,31794,IM0
20230117,6606.0,6646.6,6592.6,6608.2,19735,IM0
20230118,6620.8,6653.8,6611.4,6621.2,18132,IM0
20230119,6607.8,6692.8,6587.4,6687.4,16681,IM0
20230120,6736.2,6777.6,6717.4,6777.6,23193,IM0
20230130,6881.2,6888.0,6791.0,6792.8,27391,IM0
20230131,6796.2,6848.0,6775.6,6818.0,23191,IM0
20230201,6831.0,6923.0,6822.2,6922.6,26743,IM0
20230202,6932.6,6983.4,6911.8,6928.0,28541,IM0
20230203,6910.0,6933.0,6825.0,6920.0,34786,IM0
20230206,6892.2,6924.6,6840.2,6893.6,30107,IM0
20230207,6907.4,6916.0,6840.8,6912.8,31160,IM0
20230208,6905.8,6926.0,6853.0,6865.8,26376,IM0
20230209,6841.0,7023.0,6838.4,7020.8,35972,IM0
20230210,7009.8,7023.8,6911.0,6977.6,34437,IM0
20230213,6968.4,7045.0,6960.2,7039.6,26143,IM0
20230214,7050.6,7065.0,7016.0,7055.6,19802,IM0
20230215,7051.4,7071.8,7025.6,7049.8,20524,IM0
20230216,7039.8,7077.8,6864.2,6909.2,49836,IM0
20230217,6928.0,6940.6,6842.0,6849.8,47096,IM0
20230220,6871.0,6928.8,6796.0,6922.0,45771,IM0
20230221,6925.4,6988.4,6890.0,6935.2,37792,IM0
20230222,6916.0,6989.8,6910.8,6968.0,32043,IM0
20230223,6968.0,6987.2,6883.8,6944.8,34847,IM0
20230224,6947.0,6966.4,6872.6,6928.6,31201,IM0
20230227,6903.2,6922.6,6830.8,6879.2,34001,IM0
20230228,6899.0,6954.0,6847.6,6937.4,35963,IM0
20230301,6927.4,6984.2,6912.4,6980.6,35047,IM0
20230302,6978.0,7013.6,6941.6,6961.6,30230,IM0
20230303,6955.2,6992.8,6899.4,6942.0,33740,IM0
20230306,6949.0,6990.8,6902.2,6956.4,31889,IM0
20230307,6950.8,6963.4,6844.8,6846.8,43995,IM0
20230308,6828.0,6889.6,6821.8,6871.0,31970,IM0
20230309,6876.0,6888.2,6833.0,6878.6,32424,IM0
20230310,6840.8,6863.8,6787.6,6798.4,38784,IM0
20230313,6792.0,6838.0,6744.4,6832.6,37275,IM0
20230314,6820.6,6830.6,6696.4,6775.8,43522,IM0
20230315,6800.0,6854.8,6786.8,6807.2,37688,IM0
20230316,6777.0,6791.8,6685.4,6706.0,31718,IM0
20230317,6742.4,6791.2,6726.2,6748.4,17456,IM0
20230320,6755.0,6762.4,6687.0,6719.8,31841,IM0
20230321,6740.0,6807.8,6731.0,6791.4,30156,IM0
20230322,6811.0,6841.8,6800.6,6825.6,22846,IM0
20230323,6816.0,6852.6,6808.8,6850.4,23663,IM0
20230324,6854.8,6870.0,6830.0,6857.0,21217,IM0
20230327,6857.0,6884.8,6815.8,6860.0,27156,IM0
20230328,6849.0,6861.8,6809.0,6827.4,26878,IM0
20230329,6849.0,6850.0,6786.8,6806.0,25258,IM0
20230330,6805.0,6821.6,6757.6,6821.6,30540,IM0
20230331,6824.2,6875.0,6813.2,6873.8,25374,IM0
20230403,6885.0,6959.8,6880.0,6940.0,27944,IM0
20230404,6946.4,6954.8,6907.6,6950.2,24433,IM0
20230406,6920.0,6967.0,6918.0,6959.4,23912,IM0
20230407,6973.0,7033.8,6961.4,7026.2,24909,IM0
20230410,7038.0,7047.6,6953.2,6971.0,28753,IM0
20230411,6981.4,6990.8,6946.0,6972.4,24815,IM0
20230412,6979.0,7012.0,6970.2,7002.2,23347,IM0
20230413,6995.0,7011.2,6959.0,6967.0,28815,IM0
20230414,6978.2,7015.8,6951.0,7004.2,31369,IM0
20230417,6999.6,7021.8,6985.0,7009.6,27294,IM0
20230418,6995.0,7006.2,6955.4,6980.2,28580,IM0
20230419,6973.6,7002.2,6945.8,6955.2,23503,IM0
20230420,6949.8,6963.0,6915.6,6955.8,20732,IM0
20230421,6950.0,6958.4,6808.2,6813.4,13464,IM0
20230424,6772.8,6775.4,6690.2,6722.2,33322,IM0
20230425,6705.0,6716.2,6523.4,6612.0,43556,IM0
20230426,6596.6,6665.0,6589.8,6629.0,38586,IM0
20230427,6601.2,6689.2,6601.2,6647.6,35246,IM0
20230428,6650.0,6743.0,6647.6,6738.4,30060,IM0
20230504,6723.0,6747.2,6689.0,6725.2,20870,IM0
20230505,6722.6,6724.6,6607.8,6650.0,30332,IM0
20230508,6660.0,6720.6,6657.0,6687.8,27149,IM0
20230509,6687.8,6703.2,6611.6,6613.6,31285,IM0
20230510,6613.8,6658.0,6580.8,6624.4,32100,IM0
20230511,6631.4,6655.0,6612.0,6615.6,21391,IM0
20230512,6604.6,6639.8,6528.8,6538.6,29289,IM0
20230515,6542.2,6586.0,6469.2,6577.2,33402,IM0
20230516,6587.0,6587.0,6497.0,6519.2,27729,IM0
20230517,6505.0,6566.0,6505.0,6544.8,25640,IM0
20230518,6565.0,6592.6,6548.2,6578.6,20494,IM0
20230519,6546.0,6608.2,6516.0,6590.6,40367,IM0
20230522,6585.2,6599.6,6531.8,6578.2,34161,IM0
20230523,6580.0,6593.4,6511.2,6513.0,35048,IM0
20230524,6503.0,6556.8,6467.0,6497.0,39161,IM0
20230525,6495.0,6539.8,6403.4,6476.8,43785,IM0
20230526,6470.0,6552.8,6431.0,6535.8,39756,IM0
20230529,6553.0,6578.0,6494.6,6525.4,31583,IM0
20230530,6520.0,6567.6,6454.2,6558.0,40319,IM0
20230531,6550.0,6573.6,6505.0,6547.0,34785,IM0
20230601,6530.0,6609.2,6510.4,6567.6,35493,IM0
20230602,6588.8,6635.0,6580.8,6612.4,31483,IM0
20230605,6620.4,6631.8,6595.6,6611.8,24732,IM0
20230606,6606.0,6606.0,6451.0,6467.8,43241,IM0
20230607,6479.8,6512.0,6456.6,6470.8,31666,IM0
20230608,6470.6,6471.0,6389.6,6438.4,39186,IM0
20230609,6449.8,6494.0,6418.0,6484.0,36363,IM0
20230612,6480.0,6540.8,6472.2,6513.2,37962,IM0
20230613,6503.0,6552.8,6503.0,6540.0,30729,IM0
20230614,6545.4,6581.6,6535.2,6566.6,35752,IM0
20230615,6579.6,6624.4,6560.2,6607.2,30058,IM0
20230616,6607.6,6671.8,6602.2,6665.4,16039,IM0
20230619,6639.0,6665.6,6635.0,6647.8,24948,IM0
20230620,6638.8,6679.0,6633.4,6652.2,23929,IM0
20230621,6637.6,6645.0,6524.8,6525.2,39072,IM0
