date,close,open,high,low,volume,symbol
20230814,1039.3775,1041.2177,1043.5907,1024.3092,914635.0,000689.SH
20230811,1050.5998,1074.7057,1075.6995,1050.5998,862882.0,000689.SH
20230810,1074.8942,1074.3183,1081.5137,1071.464,749550.0,000689.SH
20230809,1073.1985,1075.2509,1077.8863,1070.7981,750815.0,000689.SH
20230808,1077.8748,1083.8067,1083.857,1073.5125,870989.0,000689.SH
20230807,1084.9706,1088.8167,1093.4298,1079.8743,1003808.0,000689.SH
20230804,1091.1233,1096.0911,1098.0078,1082.7167,1198531.0,000689.SH
20230803,1094.3221,1092.137,1095.7445,1087.2337,1173121.0,000689.SH
20230802,1101.9021,1104.8809,1112.6792,1097.6469,1438416.0,000689.SH
20230801,1100.1896,1094.1126,1102.6481,1087.5385,1142686.0,000689.SH
20230731,1093.6712,1087.7183,1102.8428,1087.3472,1307258.0,000689.SH
20230728,1086.4463,1075.6718,1087.688,1067.6114,1011960.0,000689.SH
20230727,1076.1327,1094.7258,1096.9884,1075.0615,909656.0,000689.SH
20230726,1093.6953,1097.8998,1097.8998,1090.2804,805572.0,000689.SH
20230725,1096.9943,1088.6582,1098.3611,1087.2668,1022006.0,000689.SH
20230724,1077.8223,1085.3039,1088.9077,1076.31,927643.0,000689.SH
20230721,1084.3493,1085.7198,1094.878,1080.4577,934650.0,000689.SH
20230720,1086.2207,1099.6284,1104.9523,1085.8058,1083163.0,000689.SH
20230719,1096.4898,1109.7863,1112.7768,1093.0818,1061482.0,000689.SH
20230718,1110.6921,1111.5721,1120.1137,1108.6547,1189691.0,000689.SH
20230717,1109.773,1115.3507,1116.6688,1104.4096,1200024.0,000689.SH
20230714,1114.7707,1129.7378,1130.148,1114.1991,1505081.0,000689.SH
20230713,1128.7517,1125.0368,1133.5044,1124.7173,1395301.0,000689.SH
20230712,1123.6237,1134.0608,1135.1501,1121.883,1451343.0,000689.SH
20230711,1132.6707,1125.3687,1133.4567,1118.5156,1124550.0,000689.SH
20230710,1124.0863,1121.0577,1134.8228,1120.2553,1056760.0,000689.SH
20230707,1118.5199,1133.562,1133.562,1118.4503,977057.0,000689.SH
20230706,1132.9949,1140.336,1140.7614,1128.9142,1064294.0,000689.SH
20230705,1140.3598,1149.1047,1153.8407,1137.3961,1182455.0,000689.SH
20230704,1148.6741,1144.4473,1150.1737,1140.6398,1286248.0,000689.SH
20230703,1144.8881,1141.9606,1153.3623,1140.0114,1656603.0,000689.SH
20230630,1138.4523,1108.8516,1145.2358,1106.303,1776385.0,000689.SH
20230629,1108.6029,1097.6934,1113.3151,1095.7492,1096067.0,000689.SH
20230628,1097.961,1098.395,1099.8499,1079.4692,1045935.0,000689.SH
20230627,1097.3087,1091.1127,1109.4744,1088.7288,1056318.0,000689.SH
20230626,1089.991,1082.1299,1107.7547,1078.351,1353969.0,000689.SH
20230621,1088.0096,1114.8034,1115.0635,1087.9485,1278282.0,000689.SH
20230620,1114.8464,1116.3793,1122.3664,1108.2089,1397517.0,000689.SH
20230619,1116.7959,1126.3958,1129.489,1116.7027,1403906.0,000689.SH
20230616,1125.6959,1123.2984,1128.6022,1119.1879,1173833.0,000689.SH
20230615,1122.9672,1102.508,1123.9054,1099.1227,1362633.0,000689.SH
20230614,1103.1087,1111.9717,1112.9664,1102.5927,1155215.0,000689.SH
20230613,1109.9445,1109.4612,1115.6115,1101.4683,966821.0,000689.SH
20230612,1108.9417,1106.6263,1114.4748,1099.9276,1169364.0,000689.SH
20230609,1107.6153,1095.8501,1109.2369,1094.3465,1713852.0,000689.SH
20230608,1094.6662,1104.7085,1109.7969,1094.0214,1303721.0,000689.SH
20230607,1110.703,1118.3785,1119.3185,1107.2123,969219.0,000689.SH
20230606,1117.7518,1136.8268,1137.1146,1115.4266,1080883.0,000689.SH
20230605,1138.2555,1155.1258,1156.4838,1137.378,1015331.0,000689.SH
